"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","n_train","n_test","p","q","response_rank","ncomp","coefficient_identifiable","fastpls_elapsed_sec","reference_elapsed_sec","prediction_correlation","prediction_relative_error","prediction_max_absolute_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","fastpls_metric","reference_metric","metric_absolute_difference","classification_label_agreement","deterministic_tolerance_pass","approximation_tolerance_pass","status","error_message"
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,240,80,40,5,5,5,TRUE,0.00599999999999934,0.00100000000000033,1,2.71456722216617e-10,2.11904360725157e-09,2.56712057019649e-08,0,8.53773646251594e-07,1.4787793334711e-06,0.0583897789395138,0.0583897789710647,3.15508938419917e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,240,80,40,5,5,7,TRUE,0.00599999999999934,0.00100000000000033,1,3.09326916199856e-10,2.45277820276613e-09,2.44918175499423e-08,0,1.20741826972573e-06,1.70754729250319e-06,0.0600770340522322,0.0600770341052494,5.30171739843155e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,240,80,40,5,5,10,TRUE,0.00599999999999934,0.00100000000000033,0.999999999999999,7.61476535931061e-10,6.51724074707261e-09,5.83833739627981e-08,1.70754729250319e-06,1.4787793334711e-06,1.70754729250319e-06,0.0622969320845714,0.0622969321243132,3.97417793118748e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,240,80,40,5,5,2,TRUE,0.00600000000000023,0.00100000000000033,1,4.31578557322663e-16,3.10862446895044e-15,4.43047168274028e-16,0,0,1.4787793334711e-06,0.766577597209548,0.766577597209548,2.22044604925031e-16,NA,NA,TRUE,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,240,80,40,5,5,5,TRUE,0.00600000000000023,0.00100000000000033,1,2.71456722216617e-10,2.11904360725157e-09,2.56712057019649e-08,0,8.53773646251594e-07,1.4787793334711e-06,0.0583897789395138,0.0583897789710647,3.15508938419917e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,240,80,40,5,5,7,TRUE,0.00600000000000023,0.00100000000000033,1,3.09326916199856e-10,2.45277820276613e-09,2.44918175499423e-08,0,1.20741826972573e-06,1.70754729250319e-06,0.0600770340522322,0.0600770341052494,5.30171739843155e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,240,80,40,5,5,10,TRUE,0.00600000000000023,0.00100000000000033,0.999999999999999,7.61476535931061e-10,6.51724074707261e-09,5.83833739627981e-08,1.70754729250319e-06,1.4787793334711e-06,1.70754729250319e-06,0.0622969320845714,0.0622969321243132,3.97417793118748e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,80,40,300,6,6,2,FALSE,0.00600000000000023,0.00199999999999978,1,5.32092173946642e-16,2.66453525910038e-15,6.55813777348123e-16,0,2.9575586669422e-06,1.4787793334711e-06,0.960274288380754,0.960274288380754,2.22044604925031e-16,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,80,40,300,6,6,5,FALSE,0.00600000000000023,0.00199999999999978,1,6.28955914045002e-11,4.5007908511252e-10,9.25687914275661e-09,8.53773646251594e-07,1.70754729250319e-06,1.4787793334711e-06,0.0547282607291638,0.054728260728975,1.88765669761892e-13,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,80,40,300,6,6,7,FALSE,0.00600000000000023,0.00199999999999978,0.999999999999999,2.87539008835536e-10,2.78968670386348e-09,2.65807979415712e-08,8.53773646251594e-07,2.25887274392255e-06,1.4787793334711e-06,0.0547387976707496,0.0547387976379691,3.27804935973397e-11,NA,NA,TRUE,"ok",""
